line_name,year,month,est_wkday_ridership,est_sat_ridership,est_sun_ridership
Line 2,2024,7,18237,14886,12664
Line 2,2024,8,19478,15617,13864
Line 2,2024,9,19942,15415,13101
Line 2,2024,10,20385,15611,13407
Line 2,2024,11,19342,14722,13174
Line 2,2024,12,18156,14605,11972
Line 2,2025,1,18305,14321,11975
Line 2,2025,2,18462,15051,12770
Line 2,2025,3,18665,15159,13184
Line 2,2025,4,19149,14857,13147
Line 2,2025,5,19827,14810,13186
Line 4,2024,7,22983,20420,16746
Line 4,2024,8,24720,20310,17680
Line 4,2024,9,25139,20774,18421
Line 4,2024,10,24736,20863,18127
Line 4,2024,11,23417,19757,17060
Line 4,2024,12,22846,19035,16648
Line 4,2025,1,22481,18631,15296
Line 4,2025,2,23322,20331,17874
Line 4,2025,3,24242,21155,17156
Line 4,2025,4,24238,20808,17659
Line 4,2025,5,24543,19886,18582
Line 10,2024,7,6457,4407,3624
Line 10,2024,8,7466,4524,3976
Line 10,2024,9,8093,4379,3861
Line 10,2024,10,7986,4395,3779
Line 10,2024,11,7329,4429,3584
Line 10,2024,12,6596,4251,3541
Line 10,2025,1,6945,4136,3315
Line 10,2025,2,7236,4338,3826
Line 10,2025,3,7401,4474,3782
Line 10,2025,4,7461,4294,3968
Line 10,2025,5,7914,4558,3841
Line 14,2024,7,10814,7432,6158
Line 14,2024,8,12164,7695,6653
Line 14,2024,9,13089,7423,6482
Line 14,2024,10,12982,7838,6431
Line 14,2024,11,12165,7461,6214
Line 14,2024,12,11339,7407,6008
Line 14,2025,1,11529,7144,5662
Line 14,2025,2,11970,7738,6665
Line 14,2025,3,12284,7982,6620
Line 14,2025,4,12344,7604,6771
Line 14,2025,5,12818,7607,6608
Line 16,2024,7,19045,14687,12726
Line 16,2024,8,20531,15022,12816
Line 16,2024,9,21470,15172,12907
Line 16,2024,10,21372,15012,12432
Line 16,2024,11,20581,15974,12722
Line 16,2024,12,19903,15552,12078
Line 16,2025,1,19600,14437,12015
Line 16,2025,2,19706,14884,12708
Line 16,2025,3,20264,15032,12491
Line 16,2025,4,20136,15432,13027
Line 16,2025,5,20886,15367,13029
Line 18,2024,7,19826,16230,13443
Line 18,2024,8,20818,16384,14140
Line 18,2024,9,21397,16345,13981
Line 18,2024,10,21180,16429,13681
Line 18,2024,11,20052,15950,13232
Line 18,2024,12,20007,15765,12956
Line 18,2025,1,20558,15390,12488
Line 18,2025,2,19737,16079,13531
Line 18,2025,3,20179,16545,13547
Line 18,2025,4,20615,16390,13951
Line 18,2025,5,20832,16327,13923
Line 20,2024,7,8592,6485,5292
Line 20,2024,8,9474,7149,6256
Line 20,2024,9,9457,6386,5572
Line 20,2024,10,9275,6682,5662
Line 20,2024,11,9131,6805,5457
Line 20,2024,12,8457,6485,5385
Line 20,2025,1,8569,6230,5181
Line 20,2025,2,8757,6395,5395
Line 20,2025,3,8714,6459,5736
Line 20,2025,4,8565,6026,5387
Line 20,2025,5,9552,6575,5523
Line 28,2024,7,9915,7490,6017
Line 28,2024,8,10544,7210,6241
Line 28,2024,9,11053,7353,6187
Line 28,2024,10,10937,7392,6220
Line 28,2024,11,10513,7234,5971
Line 28,2024,12,10026,7233,5769
Line 28,2025,1,10021,6964,5453
Line 28,2025,2,10180,7452,6225
Line 28,2025,3,10770,7770,6611
Line 28,2025,4,10716,7908,6485
Line 28,2025,5,11046,7632,6541
Line 30,2024,7,8004,6356,5304
Line 30,2024,8,8834,7177,6408
Line 30,2024,9,9023,6656,5738
Line 30,2024,10,8985,6771,5919
Line 30,2024,11,8321,6524,5690
Line 30,2024,12,8116,6483,5599
Line 30,2025,1,8164,6124,5243
Line 30,2025,2,8083,6398,5686
Line 30,2025,3,8399,6719,5907
Line 30,2025,4,8722,6317,6286
Line 30,2025,5,8973,6593,5557
Line 33,2024,7,16073,12705,11344
Line 33,2024,8,17361,13466,11505
Line 33,2024,9,17902,13404,11608
Line 33,2024,10,17806,14319,11458
Line 33,2024,11,16715,12799,10537
Line 33,2024,12,16089,12668,10229
Line 33,2025,1,16372,12518,10024
Line 33,2025,2,16520,13471,11502
Line 33,2025,3,17092,13361,11318
Line 33,2025,4,17100,13545,12009
Line 33,2025,5,17715,13483,11749
Line 35,2024,7,4886,3069,2417
Line 35,2024,8,5497,3268,2535
Line 35,2024,9,5970,3251,2473
Line 35,2024,10,5789,3314,2454
Line 35,2024,11,5217,3163,2507
Line 35,2024,12,4769,2982,2355
Line 35,2025,1,5145,2926,2217
Line 35,2025,2,5373,3299,2600
Line 35,2025,3,5436,3271,2521
Line 35,2025,4,5464,3266,2702
Line 35,2025,5,5771,3268,2533
Line 40,2024,7,13433,10652,8286
Line 40,2024,8,14130,10939,8315
Line 40,2024,9,14969,10682,8841
Line 40,2024,10,14845,10970,8605
Line 40,2024,11,13958,10484,8223
Line 40,2024,12,13454,9935,7906
